Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
J. S. Halle,German,,,
William H. Wright,American,1800,1900,
T. Davison,British,1750,1850,
Mary Gartside,British,1755,1819,
George Arthur Gaskell,American,1844,1885,
Elizabeth Cleghorn Gaskell,British,1810,1865,Female
Gaspard,French,,,
Charlotte Mary Yonge,British,1823,1901,
Pope Innocent XI,,,,
"Roger Palmer, 1st Earl of Castlemaine",British,1634,1705,
Jane Porter,British,1775,1850,
Samuel Laurence,British,1812,1884,
Charles Cousen,British,1815,1889,
Henry Griffiths,British,1800,1849,
G. K. Richardson,British,1800,1900,
John Giles,British,1810,1880,
John Carr Armytage,British,1802,1897,
N. Willinck,German,,,
"Hoffman & Co., Hamburg",German,,,
Pietro Gaspari,,1720,1785,
Louis Gathmann,"American, born Germany",1843,1915,
R. Williamson & Co.,American,1880,1950,
Gatine & Lanté,French,,,
Robert S. Gatter,American,1880,1940,
Bassiano Gatti,Italian,,,
Oliviero Gatti,Italian,1610,1630,
Andrea Salmincio,Italian,,,
Margaret Gatty,British,1807,1873,
James Nasmith,British,1800,1900,
Juliana Horatia Ewing,British,1841,1885,
Philip Hermogenes Calderon,French,1833,1898,
Edmund George Warren,British,1834,1909,
Williamsburg Restoration Inc.,American,1900,1999,
Jules de Verneilh-Puyraseau,French,1823,1899,
Jane Gaugain,"British, Scottish",1800,1860,
Thorton & Collie,"British, Scottish",1800,1900,
Williams Piano and Organ Co.,American,1890,1950,
Judith Gautier,French,1845,1917,
R. Ruty,French,,,
Armand Colin et Cie.,French,1870,9999,
Gustave Fraipont,Belgian,1849,1949,
Richard Bentley and Son,British,,,
Paul Avril,French,1843,1943,
"The Reverend Isaac Williams, B.D.",British,1800,1900,
I. Shrimpton,British,1800,1900,
F. Fisher,British,1800,1900,
"E. W. Allen, Newburyport, Massachusetts",American,1800,1850,
"W. B. Annin and M. Butler, Boston",American,1800,1850,
Gluyas Williams,American,1888,1982,
Robert Benchley,American,1889,1945,
Félix Leblanc,French,1823,1923,
Bara et Gerard,French,1800,1860,
Pierre Verdeil,French,1812,1874,
Andrew Best Leloir,French,1832,1850,
Auguste-Alexandre Guillamot,French,1815,1892,
Joseph Méry,French,1798,1865,
V. Champs,,,,
V. Corbay,French,,,
Sudhaus & Erlenkoetter,American,1877,,
Williams Globe Wire Works,American,1850,1950,
"Frank W. Williams, Co.",American,1900,1950,
Williams and Everett,American,1800,1900,
Williams and Bach,British,1850,1900,
François Rouget,Belgian,1800,1899,
Francois-Auguste Trichon,French,1814,1898,
J. Timms,British,1839,1865,
Ralph Willett,British,1719,1795,
James Record,British,1750,1850,
William Collins,British,1720,1820,
E. Castan,French,1850,1911,
Bureaux du Figaro et de l'autographe,French,,,
Gawthorp,British,1850,1950,
Mariette Lydis,Austrian,1890,1970,
Sir Alan Patrick Herbert,British,1890,1971,
"J. Buckland, London",British,1750,1800,
Ralph Beilby,British,1740,1817,
W. T. Wilkinson,British,1800,1950,
Keystone Press of Philadelphia,American,1800,1950,
Sarah Scudgell Wilkinson,British,1779,1831,
W. Perks,British,1800,1999,
Isaac Cruikshank,"British, Scottish",1764,1811,
Sir John Gardner Wilkinson,British,1797,1875,
George Hutton Wilkinson,British,1791,1859,
Henry John Wilkinson,British,1829,1911,
William Wilkins,British,1778,1839,
Richard Watts,British,1800,1820,
"Louis Du Guernier, the younger",French,1658,1716,
Gaetano Bianchi,Italian,1708,1745,
Bartolommeo Gazale,Italian,1700,1800,
Eric Bagge,French,,,
Huguet,French,,,
Wilfson & Hechinger,American,1850,1950,
Lachman Hedwig,German,,,
Insel Verlag,German,,,
Emile-Jacques Ruhlmann,French,1879,1933,
Vyvyan Holland,British,1886,1967,
Folio Society,British,1900,2050,
Frank Martin,British,1921,2005,
"Richard Clay & Co., Ltd.",British,1930,1999,
Francis Jourdain,French,1876,1958,
Louis Süe,French,1875,1968,
André Mare,French,1887,1932,
Robert Baldwin Ross,British,1869,1918,
Hieronymus Gebweiler,German,,,
"Charles V, Holy Roman Emperor",Spanish,1500,1558,
W. Amelung,German?,,,
Eugen Diederichs,German,1896,9999,
Charles Carrington,French,,,
Paul Thiriat,French,20,20,
Eugène Dété,French,1848,1922,
Jacob Meyer,American,1900,1950,
Heinrich Vogeler,German,,,
Spamersche Buchdruckerei,German,,,
Jacques Beltrand,French,1874,1977,
Paul Gallimard,French,,,
Franz Blei,,,,
John Vassos,"American, born Greece",1898,1985,
Charles Wild,British,1781,1835,
W. Nicol,British,1800,1875,
Antonius van der Haghe,Netherlandish,,,
H. L. Wild,American,1850,1900,
The Wilcox & White Organ Co.,American,1850,1900,
Willi Geiger,German,1878,1971,
Johann Geiler von Kaisersberg,German,1445,1510,
Max Geisberg,German,,,
Hugo Schmidt,German,,,
"Ad. Friedrich Geissler, the Younger",German,,,
Buchhandlung der Gelehrten,German,,,
Pierre Gélis-Didot,French,,,
Théodore Lambert,French,1857,1928,
Librairies-Imprimeries Reunies (Ancienne Maison Morel),French,,,
Christian Fürchtgott Gellert,German,1715,1715,
Noach van der Meer the younger,Dutch,1740,1814,
P. Meijer,Dutch,,,
William Cole,British,1753,1806,
Jacob Bryant,British,1715,1804,
Paul Henry Maty,British,1744,1787,
Louis Dutens,British,1730,1812,
"George Spencer, 4th Duke of Marlborough",British,1739,1817,
Paolo Ripamonti Carpano,Italian,,,
Carlo Caimi,Italian,,,
M. Gatta,Italian,,,
S. Palma,Italian,,,
E. De'Magri,Italian,,,
G. Mongeri,Italian,,,
Engelmann et Graf,French,,,
H. Moulin,French?,,,
Domenico Gandini,Italian,19,19,
Carlo Romano,Italian,1810,1883,
Domenico Induno,Italian,1815,1878,
Eleuterio Pagliani,Italian,1826,1903,
Girolamo Induno,Italian,1825,1890,
Giulio Carlini,Italian,1826,1887,
Raffaele Casnedi,Italian,1822,1892,
Francisco Clerici,Italian,19,19,
Vincenzo Vela,Italian,1820,1891,
Alfieri,Italian,1800,1900,
Luigi Rubio,Italian,18,1882,
Guilio Lange,Italian,19,19,
A. Zoncada,Italian,,,
Charles Turner,British,1774,1857,
"Samuel William Reynolds, the elder",British,1773,1835,
William Ward,British,1766,1826,
Alexander Francis Lydon,British,1836,1917,
Benjamin Fawcett,British,1808,1893,
Verlag der J. G. Cotta'schem Buchhandlung,German,,,
Gebrüder Kröner,German,,,
Ernst Förster,German,,,
Francis Humble,British,1780,1850,
General Electric Company,American,1892,2050,
General Electric Lighting Co.,American,1880,1920,
General Machinery Corporation,American,1900,1999,
Geneva Wagon Co.,American,1850,1950,
"Caroline-Stéphanie-Félicité, Madame de Genlis",French,1746,1830,
Bandis,French,,,
Nathaniel Coverly,American,1700,1800,
Marchell Stace,British,1800,1900,
W. Smith,British,1800,1900,
Michel George-Michel,French,,,
Amedeo Modigliani,Italian,1884,1920,
Eugène Fasquelle,French,1850,1950,
Gino Severini,Italian,1883,1966,
Chaim Soutine,"French, born Lithuania",1893,1943,
Léopold Survage,French,1879,1968,
Juan Gris,Spanish,1887,1927,
Jean Metzinger,French,1883,1956,
Francis Picabia,French,1879,1953,
Natalia Goncharova,"French, born Russia",1881,1962,Female
Ángel Zárraga y Argüelles,Mexican,1886,1946,
Hélène-Marie-Marguerite Perdriat,French,1894,1969,Female
Celso Lagar (Lagar-Arroyo),Spanish,1891,1966,
Jean-Francis Laglenne,French,1899,1962,
Mikhail Larionov,Russian,1881,1964,
Maurice Le Scouëzec,French,1881,1940,
Geneviève-Marie Gallibert,French,1888,,
Andrea di Vanni,,,,
José Maria Sert Y Badia,Spanish,1874,1945,
Valentine Hugo,French,1887,1968,Female
Moïse Kisling,"French, born Poland",1891,1953,
A. Corbery,French,1900,1999,
Gustave-Henri Colin,French,1880,1980,
J. G. Georgi,Russian,,,
Charles Guillaume Müller,Russian,1700,1800,
Bartholomaeus Georgievicz,Netherlandish,1500,1600,
Copenius,Netherlandish,,,
Librairie Stock,French,,,
Pierre Michel Adam,French,1799,1853,
Urbain Canel,French,,,
Jacques Jean Pasquier,French,1718,1785,
Jean Charles Baquoy,French,1721,1777,
Jacques Roëttiers,French,1707,1784,
Carl Friedrich Schäffer,German,,,
Johann Gottfried Klinsky,German,1765,1828,
François Aubertin,French,1773,1821,
J. G. Schwender,German,,,
J. F. Schifner,German,,,
A. T. Bliss & Co.,American,1850,1950,
Gerrish & O'Brien,American,1850,1950,
Herrmann Gerson,German,,,
Jean Charlier de Gerson,German,,,
Jules Géruzet,Belgian,1817,1874,
G. Stapleaux,Belgian,,,
Sommerschen Buchhandlung,German,,,
Christoph Froschauer the Elder,Swiss,1521,1564,
Conrad Gesner,Swiss,1516,1565,
Giovanni Andrea Gesualdo,Italian,,,
Domenico Giglio,Italian,,,
Andreas Geyer,German,,1729,
John Bapt Lang,German,,,
"Imprimerie Delâtre, Paris",French,,,
Francisco di Lionardo Ghaligaio,Italian,,,
Alessandro Gherardesca,Italian,,,
Giuseppe Antonio Landi,Italian,,,
Sebastiano Nistri,Italian,19,19,
Marchese Tommaso Poschi,Italian,19,19,
F. Galli,Italian,1800,1900,
Adriaen van Liesvelt,Netherlandish,,,
Robert Willemsz de Baudous,Netherlandish,1574,1659,
Matthias Oesterreich,German,1716,1778,
C. Ghirardelli,Italian,,,
Ippolito Gamba Ghiselli,Italian,,,
Stamperia di San Tommaso d'Aquino,Italian,,,
Christoforo Morigi,Italian,,,
Stamperia Camerale,Italian,,,
Floraine Marie Amigoni,Italian,,,
Giuseppe Gherardi,Italian,,,
Pierfrancesco Giambullari,Italian,,,
Polifilo Giancarli,Italian,1600,1625,
Tasio Giancarli,Italian,1625,1625,
Nicolaus Parthenius Giannettasii,Italian,,,
Andrea Magliar,Italian,1690,,
Jacques Raillard,,17,17,
Yurii Aleksandrovich Bogorodskii,Russian,,,
Alla Ivanovna Stroilo,Russian,1900,1999,
Yu. N. Afanas'eva,Russian,,,
Rev. J. L. Porter,British,1800,1900,
E. G. Rey,British,1800,1900,
P. S. Christoforo Giarda,,,,
Cesare Bassano,Italian,1600,1700,
Madame Emile de Girardin,French,1804,1855,
G. Fath,French,1800,1900,
G. Konechna,Russian,,,
Nikolai Mikhailovich Kochergin,Russian,1897,1974,
Nika Georgievna Gol'c,Russian,1925,2007,
A. N. Yakobson,Russian,,,
Irina Anatol'evna Fateeva,Russian,1908,1981,
Galina Sergeevna Solov'eva,Russian,,,
Natalia Pavlovna Antokol'skaya,Russian,1921,1981,
Anatolii Vladimirovich Golubev,Russian,1915,1990,
Vladimir Nikolaevich Minaev,Russian,1912,1993,
K. V. Kuznetsov,Russian,,,
E. M. Rachev,Russian,,,
Detskaya Literatura,Russian,1940,1999,
Anatolii Vladimirovich Kokorin,Russian,1908,1987,
K. D. Aron,Russian,,,
Gaetano Giarré,Italian,,,
Giacomo Moro,Italian,,,
Gio. Orazio Rucellai,Italian,,,
Vladimir Grigor'evich Bragin,Russian,,,
N. Charushin,Russian,1900,2000,
N. A. Terekhova,Russian,1900,1999,
James Gibbs,"British, Scottish",1682,1754,
Vesyolka,Ukrainian,1950,1999,
Oles' Tkachenko,Ukrainian,,,
L. M. Kulakiv'ska,Ukrainian,,,
J. and P. Knapton,British,1735,1789,
R. Manby,British,1700,1800,
Valentin Gavrilovich Litvinenko,Ukrainian,1908,1979,
Arthur S. Gibson,British,1880,1900,
M. Poznans'kaya,Ukrainian,,,
Galina Mikolaivna Makovs'ka,Ukrainian,1915,1967,
Vasil' Vitka,Belarussian,,,
V. L. Nikolenko,Ukrainian,,,
Bernard Isaacs,American,1882,1975,
Goznak,Russian,,,
E. E. Lissner,Russian,,,
G. A. Mokrusheva,Russian,,,
Gibson Gas Fixture Works,American,1850,1999,
Giovanni Wenzel,German,1744,1944,
L. Prosseda,,1752,1952,
Dr. Thomas Gibson,British,1647,1722,
Editions Aux Aldes,French,,,
Hans von Weber,German,,,
Jules Germain,French,1877,1946,
Mattia Giegher,Italian,,,
Henry F. Anners,American,1800,1900,
P. A. Woolnoth,,1800,1900,
William Schwenck Gilbert,British,1836,1911,
Judd and Glass,British,1800,1900,
Paulin,French,,,
Alain René Le Sage,French,1668,1747,
Alexander Gilchrist,British,1828,1861,
Edward B. Giles,British,1800,1999,
John Mogford,British,1800,1900,
F. T. Prewett,British,1800,1900,
Kenny & Co.,British,1800,1900,
Christopher Gill,British,1850,1900,
J. Williams Benn,British,1850,1900,
Cabinet Maker & Art Furnisher,British,1800,1900,
Eric Gill,British,1882,1940,
Faber and Faber,British,,,
Hague and Gill,British,1900,2100,
J. Thompson Gill,American,1850,1950,
The Caterer Publishing Co.,American,1850,1950,
C. H. King,American,1800,1900,
Joseph Gaspard Gillé,French,1827,1827,
Eva Margaret Gilpin,British,1868,1940,
The Hall School,British,1900,1950,
Ethel Cassels Gillespy,British,1870,1949,
La Veuve Le Clerc,French,,,
Gogué & Née de la Rochelle,French,,,
Joseph Gilliers,French,1658,1758,
Dupuis,French,1760,1760,
Lotha,French,,,
John Gillies,"British, Scottish",1712,1796,
Hodge & Shober,American,1750,1850,
George Whitefield,British,1714,1770,
Elisha Gallaudet,American,1730,1805,
Ripley & Co.,American,1866,1874,
United States Glass Co.,American,1891,1950,
O'Hara Glass Co.,American,1800,1950,
John Miller,British,1809,1825,
Charles Whiting,British,1800,1900,
Gills & Geoghegan,American,1850,1950,
William Gilpin,British,1724,1804,
R. Blamire,British,1775,1800,
William Sawrey Gilpin,British,1762,1843,
A. Spottiswoode & Company,British,1800,1900,
Antonio Ginesi,Italian,,,
Pietro Allegrini e compagni,Italian,,,
Laudi & Steffen,Italian,,,
Ginori Manifattura,Italian,1737,9999,
Società Ceramica Richard Ginori,,,,
Casa Editrice d'Arte Bestetti e Tamminelli,Italian,,,
Mario Gioffredo,Italian,,,
"The Gion Dancing and Music School, Kyoto",Japanese,1850,2050,
Paolo II Giordano,Italian,,,
Ufficio del Corriere delle Dame,Italian,,,
Aloisio Giovannoli,Italian,1550,1550,
Jacob Elias La Fargue,Dutch,1735,1776,
Manuel Gil,Spanish,,,
Benito Cano,Spanish,,,
D. Francisco Ximinez,Spanish,1700,1800,
Josef Braulio Amat,Spanish,1700,1799,
Frederick B. Wilcox,American,1879,1979,
Grace Arnold Albee,American,1890,1985,Female
"Wilcox, Crittenden & Co.",American,1850,1900,
C. A. Mees,Dutch?,1900,1950,
Hendrik Theodor Wijeveld,Dutch,1900,1999,
Henry Wigstead,British,1740,1800,
G. G. J. & J. Robinson,British,1780,1811,
Stephenson's British Letter-Foundry,British,1750,1850,
G. D. Wightman,American,1800,1900,
H. B. Wiggin's Sons,American,1800,1900,
Wier Stove Company,American,1850,1900,
Johannes Winterburger,Austrian,1492,1519,
Frank L. Carr Jr.,American,1850,1950,
Pamela Colman Smith,British,1878,1951,Female
Abraham de Wicquefort,Dutch,,,
John Wycliffe,British,1320,1320,
Franz Wickhoff,Austrian,,,
Erwin Lang,Austrian,1886,1962,
Charles Wickes,British,1853,1859,
Alfred Newman,British,1827,1866,
William Butler,British,1824,1870,
J. Wertheimer & Co.,British,1800,1900,
Day and Son,,,,
Thompson & Co.,British,1800,1900,
William Mort Thompson,British,1820,1880,
Edward Augustus Freeman,British,1823,1892,
John B. Wickersham,American,1850,1950,
Giuliano Giraldi,Italian,,,
Alovisio Rosaccio,Italian,1600,1700,
Lilius Giraldus,French,,,
Baudoin,French,1500,1600,
André Girard,French,,,
"Chirho Press, Marquette University",American,1900,2000,
Jean Girard,French,,,
Gérard Jollain,French,1660,1683,
J. Girardin,French,,,
Jean-Hippolyte Giraudoux,French,1882,1944,
Maxime Dethomas,French,1867,1929,
Jacques Mauny,French,1893,1962,
Joseph-Philibert Girault de Prangey,French,1804,1892,
Louis-Phillipe Auguste Bichebois,French,,,
Frédéric Villeneuve,French,,,
Alexandre-Jules Monthelier,French,1804,1883,
Veith et Hauser,French,,,
Marie-Alexandre Adophe,French,1812,1883,
Benard et Frey,French,,,
Fromentin & Cie.,French,,,
Thomas Girdlestone,British,1758,1822,
P. Martin,British,1800,1900,
Charles Lee,"American, born England",1732,1782,
Marcella M. Walker,British,1817,1972,Female
Richard Taylor,British,1801,1972,
Lascelles and Richardson,British,1850,1950,
James Sant,British,1820,1916,
Alan Wright,British,1850,1950,
Sydney Cowell,British,1850,1900,
Alexander Laby,British,1840,1890,
Henry Ryland,British,1856,1924,
Harrison Miller,British,1850,1950,
Harry Arnold,British,1877,1890,
Fred Miller,British,1890,1910,
Davidson Knowles,British,1879,1914,
Henry French,British,1868,1875,
Sheeres and Symmons,British,1850,1900,
Joseph Barnard Davis,British,1861,1943,
William Henry Charles Groome,British,1850,1914,
John Ley Pethybridge,British,1865,,
William A. Menzies,British,1886,1911,
James Shaw Crompton,British,1853,1916,
Butterworth and Heath,British,1856,1910,
Thomas Harrington Wilson,British,1800,1900,
Charles Anderson Ferrier,"British, born Scotland",1829,1908,
Vogelsang and Kaiser,German,1885,1885,
"Louisa, Queen of Prussia",German,1776,1810,
Harry Fitzner Davey,British,1883,1900,
Princess Karl of Hesse,German,1815,1885,
John Charles Staples,British,1844,1897,
Robert Catterson Smith,Irish,1853,1853,
Mary Louise Gow,British,1851,1929,Female
George A. Elcock,British,1881,1892,
Le Sieur Glachant,French,18,18,
Aubin,French,1700,1800,
Etienne Charpentier,French,1705,1764,
Ernst Georg Gladbach,Swiss?,1812,1896,
Veuve A. Morel et Cie.,French,1800,1900,
J. A. Glanton,American,1850,1950,
Curt Glaser,German,1879,1943,
Verlag Hermann Reckendorf,German,,,
P. Glazier,French,1740,1780,
E. P. Gleason Manufacturing Co.,American,1850,1920,
Gleason Wood Ornament Co.,American,1850,1950,
Albert Gleizes,French,1881,1953,
Compagnie des Arts Graphiques,French,,,
Jacques Villon,French,1875,1963,
Glines Patent Slate Roofing Paint,American,1830,1930,
New York Slate Roofing Company,American,1800,1900,
Farrar & Rinehart,American,1880,1950,
Hendrik (Henry) J. Glintenkamp,American,1887,1946,
Babb and Stephens,American,1870,1900,
The Globe Gas Light Company,American,1850,1950,
Papini,Italian,,,
Richard Glover,British,1712,1785,
Abraham Raimbach,British,1776,1843,
J. D. Dewick,British,1780,1850,
Anker Smith,British,1759,1819,
Henry Wise,British,1653,1738,
Sieur Louis Liger,French,1658,1717,
"Jacob Tonson, the Elder",British,1655,1736,
Louis Laguerre,French,1663,1721,
George London,British,1613,1713,
George W. Lewis,American,1841,1860,
"Collins, Keese & Co.",American,1800,1900,
Ticknor and Fields,American,,,
"University Press: Welch, Bigelow & Co.",American,1800,1900,
Henry Marsh,American,1826,1912,
D. Mitchell,American,1780,1880,
Thomas Richard Whitney,American,1807,1858,
George C. Whitney,American,1850,1950,
F. A. Whitney Carriage Co.,American,1850,1950,
Rockwell & Church Press,American,1800,1900,
Elizabeth Manning Whitmore,American,1920,1940,
"William Whiteley, Ltd.",British,1863,1981,
Whitehead & Hoag Co.,American,1850,1950,
"Whitehall, Tatum & Co.",American,1850,1950,
The Whitehall Review,British,1800,1900,
Sidney Trefusis Whiteford,British,1837,1915,
"Henderson, Rait, and Fenton",British,1800,1900,
Robert White,British,1645,1703,
"White, Potter & Paige Manufacturing Co.",American,1850,1950,
White Manufacturing Co.,American,1860,1960,
White Mantel & Tile Co,American,1900,1950,
White and Davis,American,1900,1950,
Anthony Walton White,American,1750,1803,
Shelley Arnett,American,1700,1800,
Richard Howell,American,1754,1802,
White Allom & Company,British,1880,1920,
Reginald John Whistler,British,1905,1944,
"R. Cobden-Sanderson, Ltd.",British,1900,1950,
"Walter Lewis, M.A.",,1900,1950,
"J. & E. Bumpus, Ltd.",British,1900,1999,
"Sir Henry Thompson, 1st Baronet",British,1820,1904,
Ellis & White,British,1850,1950,
Elzevir Press,British,1850,1950,
Murray Marks,British,1840,1918,
Stuart Richard Erskine,British,1869,1960,
Herbert Vivian,British,1865,1940,
Whetston & Little Mfg. Co.,American,1850,1950,
Wheeling Corrugating Company,American,1890,2050,
Bennett Wheeler,American,1780,1820,
Hayden W. Wheeler & Co.,American,1900,1999,
Gervase Wheeler,British,1815,1889,
Wheel and Top Hardware Company,American,1850,1950,
Gabriel Weyer,German,1576,1632,
Peter Isselburg,German,1568,1626,
Henry Weyand Co.,American,1880,1960,
Francis Wey,French,1812,1882,
Auguste-Paul-Charles Anastasi,French,1820,1889,
Catennaci,Italian,1816,1884,
Jules-Elie Delaunay,French,1828,1891,
Crépon,French,1800,1900,
Robert Jacques Louis Lefévre,French,1785,1830,
Marie Nanteuil,French,19,19,
Pacquier,French,19,19,
Charles Sellier,French,1830,1882,
Alexandre Rapine,French,1838,1889,
Robert Wetten,British,1804,1868,
Englemann & Co.,British,1800,1900,
Fortescue Wetherman & Co.,British,1880,1920,
I. & O. Westwood,British,1720,1850,
F. Somers,American,1800,1900,
Louis Westphale,French,,,
Henry Lacey,British,1800,1850,
W. Read,British,1820,1837,
Westinghouse Electric & Manufacturing Company,American,1886,2999,
Westinghouse Air Brake Company,American,1900,1999,
A. B. & W. T. Westervelt,American,1850,1900,
Brown & Wood,American,1850,1920,
Western Pine Association,American,1931,1999,
Western Grille Manufacturing Co. Inc.,American,1800,1950,
Francesco Bianco,American,1900,1999,
West Virginia Pulp and Paper Company,American,1850,1950,
West-End Gazette Editorial Committee,British,1870,1880,
West Side Hardware Co.,American,1850,1950,
Littlefield Stove Co.,American,1860,1950,
J. B. Lyon Company,,,,
Werner Printing & Lithography Company,American,1850,1950,
Emil Werner & Co.,American,1800,1900,
A. B. Wenzel,American,1880,1950,
L. T. Ventouillac,British,1798,1878,
"Jennings & Chaplin, London",British,1820,1860,
F. Wenter,American,1800,1900,
Volharding,Dutch,,,
H. F. Wendell & Co.,American,1850,1950,
Wendell & Co.,American,1895,1940,
William Frederick Wells,British,1764,1836,
Hookham and Carpenter,British,1750,1850,
"S. Gosnell, London",British,1780,1840,
Richard A. Wells,American,1890,1890,
Reverend Willard E. Waterbury,American,1890,1890,
"King, Richardson & Co.",American,1800,1900,
Wells & Co.,American,1850,1950,
Charles Richard Weld,British,1813,1869,
Welch Folding Bed Company,American,1850,1950,
Alexander McMillan Welch,American,1869,1943,
Carl Wilhelm Weisbrod,German,1713,1713,
Weir Stove Company,American,1880,1950,
"Wertheimer, Lea & Co.",British,1800,1900,
Weinstock & Lubin,American,1850,1950,
Samuel Weinhaus Co.,American,1900,1950,
A. Weiler,American,1800,1950,
Ernst Weil,German,,,
Verlag der Münchner Drucke,German,,,
Robert Moskowitz,American,1935,9999,
Otto Weigman,German,,,
Weigel,German,,,
Christoph Weigel Jr.,German,,,
Vincent Steinmeyer,German,,,
Johann Nikolaus Stoltzenberger,German,1618,1636,
Jacob Weidenmann,"American, born Switzerland",1829,1893,
Herman Bencke,American,1867,1880,
Walter Weichsel,American,1900,1999,
Conrad Wegner,German,,,
Heinrich Keller,German,1800,1900,
Rev. Mason Locke Weems,American,1759,1825,
Sir Frederick Wedmore,British,1844,1921,
Cadel,British,1700,1800,
William Darling,British,1776,1777,
"Jones, McDuffee and Stratton",American,1871,1950,
Wechsler and Abraham,American,1850,1900,
Liberty Printing Company,American,1800,1900,
F. P. Webster,American,1800,1950,
E. G. Webster & Son,American,1865,1950,
Webster Company,American,1909,1918,
Benjamin Webster,British,1798,1882,
W. S. Johnson,British,1800,1900,
John Mitchell,British,1806,1874,
National Acting Drama Office,British,1800,1900,
B. A. Webster,American,1800,1943,
Martin Websky,Polish?,,,
Peggy Webling,British,1871,1949,
Walter P. Webber,American,1890,1999,
Max Weber,"American, born Russia",1881,1961,
A. Weber,German,1820,1865,
E. Blochmann & Sohn,German,,,
E. B. Squire,American,1900,1999,
Irma Eleanor (Schmidt) Webber,American,1904,2004,
"William R. Scott, Inc.",American,1900,1950,
Sir Lawrence Weaver,British,1876,1930,
Heal and Son,British,1880,1980,
Henry Weaver,British,1886,1886,
Joseph Holloway,British,1800,1900,
Knight & Leonard,American,1850,1950,
J. L. Wayne & Son,American,1850,1900,
J. E. Tilton and Company,American,1800,1900,
Literary Guild,American,1900,1999,
Lynd Kendall Ward,American,1905,1985,
Miss Watts,British,1800,1900,
J. Miland,British,1800,1900,
John Robert Watts,British,1750,1800,
Rogers and Fowle,American,1700,1800,
James Turner,American,1722,1759,
J. Blanchard,American,1700,1800,
The Print Shop,,,,
Goanvic-Boedec,French,,,
Lorient,French,,,
John H. Goater,American,1800,1900,
Gobard,French,,,
Louis Antoine Godey,American,1804,1878,
Mary,French,,,
Pillet et Dumoulin,French,,,
J. H. Haulenbeek & Co.,American,1850,1950,
Ulysses S. Grant,American,1822,1885,
Léon Berville,French,,,
Theodor Goebel,German,,,
Felix Krais,German,1850,1950,
Johannes Goedaert,Dutch,1617,1668,
Pierre Mortier,Dutch,1685,1711,
Marschalls von Bassompierre,German,,,
Hans Volkert,German,,,
Alfred Hoennicke,German,,,
O. Felsing,German,,,
Daphnis-Binderei O. Herfurth,German,,,
Theodore Martin,British,1816,1909,
August von Kreling,German,1819,1876,
George Kirchner,American,1800,1900,
John Nicholson,British,1650,1750,
John Sprint,British,1650,1750,
William Elder,"British, Scottish",1601,1780,
Thomas Watson,British,1650,1750,
John Fanning Watson,American,1780,1780,
Collins and Hannay,American,1800,1900,
Risso & Browne,American,1800,1900,
Héron de Villefosse,French,,,
Barbara Watkins,,1900,1999,
Mourlot Fréres,French,,,
Waterlow & Sons,British,1800,1900,
Stanley Waterloo,American,1846,1913,
Claude Henri Watelet,French,1714,1789,
The Watchmakers' Alliance & Ernest Goode's Stores,British,1850,1950,
W. H. Guest,British,1850,1900,
Jones & Cuthbertson,British,1850,1900,
Thomas Dickman,,1800,1900,
Abner Reed,American,1771,1866,
Thomas M. Pomroy,American,1800,1900,
Wlliam E. Norman,American,1800,1900,
Washington Benevolent Society,American,,,
Denio & Phelps,American,1800,1850,
William Satchwell Leney,"American, born England",1769,1831,
Eugène Charpentier,French,,,
"Washington, D. C., Executive Buildings",,,,
Lettice R. Washburn & Son,American,1878,1950,
Warren Featherbone Co.,American,1850,1900,
"John Byrne Leicester Warren, Baron de Tabley",British,1835,1895,
C. A. Warren,American,1850,1900,
Charles Samson,French,,,
Pierre Mac Orlan,French,,,
Les Heures Claires,French,,,
Raymond Jacquet,French,,,
Manuel Robbe,,,,
André Warnod,French,1885,1960,
Charles Dudley Warner,American,1829,1900,
Waring & Gillow,British,1850,1950,
John Burley Waring,British,1823,1875,
William Roberts Tymms,British,1800,1900,
George MacCulloch,British,1840,1940,
"Anonymous, Austrian, 17th century",Austrian,1600,1700,
Claude David,French,,,
"Moderna Museet, Stockholm",,,,
Warhafftige,German,,,
Jheronimum Formschneyder,German,,,
Isaac Ware,British,1704,1766,
"C. Fourdrinier, Lewis, Piers & Webley",British,1700,1800,
Thomas Ripley,British,1683,1758,
"Robert Walpole, 1st Earl of Orford",British,1676,1745,
"T. Osborne, J. Shipton, etc.",British,1700,1800,
Isaac Delaney Ware,American,1839,1901,
B. J. Warden,American,1800,1900,
Thomas Simpson,British,1700,1850,
Ward & Price,British,1800,1850,
"J. Butterworth, T. Wood, J. Belcher",British,1800,1900,
W. Hodgetts,British,1800,1900,
L. Thompson,British,1780,1850,
W. Cooper,British,1800,1900,
Adams & Gee,British,1800,1900,
Tyrrell Ward & Co.,American,1850,1950,
David & Cannon Printers,American,1900,1999,
C. E. Ward Co.,American,1880,1950,
Harrison Smith,American,1900,1950,
Frederick Oldfield Ward,British,1800,1900,
Henry Wansey,British,1751,1827,
J. Easton,British,1750,1850,
Riviere,,1850,1899,
George & Thomas Wilkie,British,1774,1797,
H. Wandelaincourt,French,,,
Alexandre Pluchart,Russian,1777,1827,
John Wanamaker,American,1800,2000,
"Henry Wampen, Ph.D.",British,1800,1900,
Boone,British,1800,1900,
Walton & Co.,American,1800,1999,
William Walton,American,1843,1915,
T Remy,,,,
